sloan_ra sloan_dec sloan dr7_ra dr7_dec dr7
184.4521000 -00.8080100 Sloan 184.45210 -00.80801 DR7
190.4064400 -00.6670419 Sloan 190.40644 -00.66704 DR7
206.4520100 -00.6449250 Sloan 206.45201 -00.64492 DR7
207.8736500 -00.7705711 Sloan 207.87365 -00.77057 DR7
227.6056400 -00.6685681 Sloan 227.60564 -00.66857 DR7
227.6474500 -00.6730300 Sloan 227.64745 -00.67303 DR7
227.9308700 -00.6953011 Sloan 227.93087 -00.69530 DR7
191.3950000 -00.3941419 Sloan 191.39500 -00.39414 DR7
188.8453400 +00.0616769 Sloan 188.84534 +00.06168 DR7
193.7018500 +00.0286161 Sloan 193.70185 +00.02862 DR7
211.2505200 +00.1548569 Sloan 211.25052 +00.15486 DR7
216.6676400 +00.1329650 Sloan 216.66764 +00.13296 DR7
223.5384800 +00.4662700 Sloan 223.53848 +00.46627 DR7
226.3606100 +00.6173631 Sloan 226.36061 +00.61736 DR7
194.8718400 +01.0421011 Sloan 194.87184 +01.04210 DR7
198.8484500 +00.9592600 Sloan 198.84845 +00.95926 DR7
218.0606400 +00.8679789 Sloan 218.06064 +00.86798 DR7
224.6222300 +00.9543789 Sloan 224.62223 +00.95438 DR7
156.7946400 -00.6382739 Sloan 156.79464 -00.63827 DR7
181.7484900 -01.2353589 Sloan 181.74849 -01.23536 DR7
162.8893700 -00.6861139 Sloan 162.88937 -00.68611 DR7
165.3670500 -00.7969119 Sloan 165.36705 -00.79691 DR7
182.2222900 -00.6411681 Sloan 182.22229 -00.64117 DR7
166.0719400 -00.2666139 Sloan 166.07194 -00.26661 DR7
160.9938500 -00.8398311 Sloan 160.99385 -00.83983 DR7
182.0464700 -00.9111319 Sloan 182.04647 -00.91113 DR7
191.5500200 -00.9317089 Sloan 191.55002 -00.93171 DR7
218.5639700 -00.9692539 Sloan 218.56397 -00.96925 DR7
156.5063300 -00.4919639 Sloan 156.50633 -00.49196 DR7
156.7166300 -00.5490111 Sloan 156.71663 -00.54901 DR7
156.6484000 -00.4945589 Sloan 156.64840 -00.49456 DR7
191.7587500 -00.5074961 Sloan 191.75875 -00.50750 DR7
221.5668200 -00.4850919 Sloan 221.56682 -00.48509 DR7
223.5027300 -00.5765081 Sloan 223.50273 -00.57651 DR7
156.5612400 -00.1878539 Sloan 156.56124 -00.18785 DR7
194.0268900 -00.1091369 Sloan 194.02689 -00.10914 DR7
159.7219900 +00.2840169 Sloan 159.72199 +00.28402 DR7
167.0254800 +00.2815431 Sloan 167.02548 +00.28154 DR7
172.9327100 +00.2867381 Sloan 172.93271 +00.28674 DR7
176.9488800 +00.3338561 Sloan 176.94888 +00.33386 DR7
183.5127200 +00.2672111 Sloan 183.51272 +00.26721 DR7
196.1134100 +00.4094131 Sloan 196.11341 +00.40941 DR7
215.7023700 +00.3096869 Sloan 215.70237 +00.30969 DR7
154.4686200 +00.8252069 Sloan 154.46862 +00.82521 DR7
156.7280800 +00.7590400 Sloan 156.72808 +00.75904 DR7
157.7948000 +00.7699111 Sloan 157.79480 +00.76991 DR7
165.9394100 +00.7182750 Sloan 165.93941 +00.71827 DR7
168.4978800 +00.8359031 Sloan 168.49788 +00.83590 DR7
178.2004800 +00.7751639 Sloan 178.20048 +00.77516 DR7
185.0752200 +00.7523969 Sloan 185.07522 +00.75240 DR7
168.4435500 +01.1759369 Sloan 168.44355 +01.17594 DR7
176.0570000 +01.0522119 Sloan 176.05700 +01.05221 DR7
131.7915700 +00.9164831 Sloan 131.79157 +00.91648 DR7
148.4825200 +01.4083550 Sloan 148.48252 +01.40835 DR7
135.9792700 +01.6106839 Sloan 135.97927 +01.61068 DR7
130.1499800 +01.7609061 Sloan 130.14998 +01.76091 DR7
136.9377900 +02.3119100 Sloan 136.93779 +02.31191 DR7
129.6172200 +01.0140161 Sloan 129.61722 +01.01402 DR7
145.2943600 +01.5363481 Sloan 145.29436 +01.53635 DR7
148.9105200 +02.2011831 Sloan 148.91052 +02.20118 DR7
137.9305200 +02.2177250 Sloan 137.93052 +02.21772 DR7
183.7136700 +01.4975889 Sloan 183.71367 +01.49759 DR7
212.3720200 +01.2679569 Sloan 212.37202 +01.26796 DR7
191.4162200 +01.8570761 Sloan 191.41622 +01.85708 DR7
191.4249400 +01.9061831 Sloan 191.42494 +01.90618 DR7
193.9435600 +01.9809511 Sloan 193.94356 +01.98095 DR7
209.9109500 +01.8385861 Sloan 209.91095 +01.83859 DR7
212.3584800 +01.6871150 Sloan 212.35848 +01.68711 DR7
186.0388900 +02.4029861 Sloan 186.03889 +02.40299 DR7
188.9761800 +02.3922489 Sloan 188.97618 +02.39225 DR7
190.4031100 +02.3975681 Sloan 190.40311 +02.39757 DR7
208.4447200 +02.2274631 Sloan 208.44472 +02.22746 DR7
210.6728200 +02.2189619 Sloan 210.67282 +02.21896 DR7
212.5992400 +02.1001331 Sloan 212.59924 +02.10013 DR7
212.6116000 +02.1490219 Sloan 212.61160 +02.14902 DR7
219.2626700 +01.9505000 Sloan 219.26267 +01.95050 DR7
223.4931300 +01.9486081 Sloan 223.49313 +01.94861 DR7
183.4161000 +02.8541831 Sloan 183.41610 +02.85418 DR7
191.6980000 +02.7025331 Sloan 191.69800 +02.70253 DR7
194.2634200 +02.8752881 Sloan 194.26342 +02.87529 DR7
194.7968800 +02.7262400 Sloan 194.79688 +02.72624 DR7
221.9948200 +02.3678489 Sloan 221.99482 +02.36785 DR7
